"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-07",,,,,"0.0","T,,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-08",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-09",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-10",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-11",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-12",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-13",,,,,"0.0","T,,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-14",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-15",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-16",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-17",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-18",,,,,"0.0","T,,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-19",,,,,"9.9",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-20",,,,,"0.8",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-21",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-22",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-23",,,,,"0.0",",,N","0.0",",,N",,,,,,
