"TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper"
"781E4B78 2022-01-19 13:06:00","781E4B78","2022-01-19","13:06:00",6,410765.265712839,4261657.57735173,410671.081523294,410859.449902385,4261551.14097349,4261764.01372996
"781E4B78 2022-01-19 13:09:00","781E4B78","2022-01-19","13:09:00",6,410783.520358174,4261673.31850897,410691.816103122,410875.224613226,4261573.54895523,4261773.08806272
"781E4B78 2022-01-19 13:12:00","781E4B78","2022-01-19","13:12:00",6,410774.345643619,4261667.39865532,410680.490242456,410868.201044783,4261563.64590083,4261771.15140981
"781E4B78 2022-01-19 13:15:00","781E4B78","2022-01-19","13:15:00",6,410763.303363746,4261610.33393852,410657.825580165,410868.781147327,4261485.82047931,4261734.84739773
"781E4B78 2022-01-19 13:18:00","781E4B78","2022-01-19","13:18:00",6,410747.862963106,4261640.77327526,410643.099129862,410852.62679635,4261515.33282495,4261766.21372557
"781E4B78 2022-01-19 13:21:00","781E4B78","2022-01-19","13:21:00",6,410748.75863915,4261647.60503733,410638.521142195,410858.996136104,4261516.66209753,4261778.54797713
"781E4B78 2022-01-19 13:24:00","781E4B78","2022-01-19","13:24:00",6,410750.470182108,4261657.10639637,410646.310197171,410854.630167045,4261534.73260968,4261779.48018306
"781E4B78 2022-01-19 13:27:00","781E4B78","2022-01-19","13:27:00",6,410780.923496549,4261673.73183412,410681.0608262,410880.786166897,4261564.2181064,4261783.24556184
"781E4B78 2022-01-19 13:30:00","781E4B78","2022-01-19","13:30:00",6,410748.357257361,4261655.81298494,410641.956311049,410854.758203673,4261530.08806292,4261781.53790696
"781E4B78 2022-01-19 13:33:00","781E4B78","2022-01-19","13:33:00",6,410773.779941322,4261685.96278162,410664.690315562,410882.869567082,4261561.00659654,4261810.91896669
"781E4B78 2022-01-19 13:36:00","781E4B78","2022-01-19","13:36:00",6,410760.805325363,4261662.74670559,410639.375529995,410882.235120732,4261523.85413686,4261801.63927433
"781E4B78 2022-01-19 13:39:00","781E4B78","2022-01-19","13:39:00",6,410740.366111702,4261647.17765197,410615.795038122,410864.937185282,4261496.27501335,4261798.08029058
"781E4B78 2022-01-19 13:42:00","781E4B78","2022-01-19","13:42:00",6,410747.190996777,4261622.60458793,410642.700786588,410851.681206966,4261496.02923359,4261749.17994227
"781E4B78 2022-01-19 13:45:00","781E4B78","2022-01-19","13:45:00",6,410754.927324506,4261631.66956265,410661.913117058,410847.941531955,4261521.11423696,4261742.22488835
"781E4B78 2022-01-19 13:48:00","781E4B78","2022-01-19","13:48:00",7,410729.455254899,4261589.83668683,410604.391175242,410854.519334556,4261447.51750296,4261732.15587071
"781E4B78 2022-01-19 13:51:00","781E4B78","2022-01-19","13:51:00",7,410771.412990779,4261659.51528564,410693.606455841,410849.219525718,4261573.47247921,4261745.55809206
"781E4B78 2022-01-19 13:54:00","781E4B78","2022-01-19","13:54:00",7,410744.840788523,4261651.07396779,410656.406173628,410833.275403417,4261545.56487751,4261756.58305807
"781E4B78 2022-01-19 13:57:00","781E4B78","2022-01-19","13:57:00",7,410743.750659578,4261657.29104362,410653.448762406,410834.052556751,4261549.15255393,4261765.42953331
"781E4B78 2022-01-19 14:00:00","781E4B78","2022-01-19","14:00:00",7,410758.441038791,4261662.4395769,410672.817170163,410844.064907418,4261563.59108334,4261761.28807045
"781E4B78 2022-01-19 14:03:00","781E4B78","2022-01-19","14:03:00",7,410765.86312949,4261663.03163522,410690.450320459,410841.275938522,4261577.78856185,4261748.27470859
"781E4B78 2022-01-19 14:06:00","781E4B78","2022-01-19","14:06:00",7,410806.614669739,4261701.10336305,410750.516031779,410862.713307699,4261637.09751383,4261765.10921226
"781E4B78 2022-01-19 14:09:00","781E4B78","2022-01-19","14:09:00",7,410799.509830985,4261676.3615735,410735.325001295,410863.694660674,4261609.07536413,4261743.64778287
"781E4B78 2022-01-19 14:12:00","781E4B78","2022-01-19","14:12:00",7,410783.662109117,4261639.12388361,410707.118464408,410860.205753825,4261559.41637099,4261718.83139623
"781E4B78 2022-01-19 14:15:00","781E4B78","2022-01-19","14:15:00",7,410791.249387774,4261629.69034455,410702.191634933,410880.307140615,4261539.95203465,4261719.42865446
"781E4B78 2022-01-19 14:18:00","781E4B78","2022-01-19","14:18:00",7,410800.843101402,4261631.9725675,410705.611661135,410896.074541669,4261542.84769665,4261721.09743836
"781E4B78 2022-01-19 14:21:00","781E4B78","2022-01-19","14:21:00",7,410809.757120538,4261648.07596151,410728.295010943,410891.219230133,4261573.48077344,4261722.67114958
"781E4B78 2022-01-19 14:24:00","781E4B78","2022-01-19","14:24:00",7,410825.317310811,4261672.4671476,410766.006133879,410884.628487742,4261614.98706425,4261729.94723094
"781E4B78 2022-01-19 14:27:00","781E4B78","2022-01-19","14:27:00",7,410799.221535935,4261669.09998043,410713.107802641,410885.335269229,4261581.12689711,4261757.07306376
"781E4B78 2022-01-19 14:30:00","781E4B78","2022-01-19","14:30:00",7,410803.66946076,4261676.14770788,410747.549742821,410859.789178699,4261618.06474223,4261734.23067353
